,Funding,counts
177,"National Heart, Lung, and Blood Institute, NHLBI",70
173,"National Eye Institute, NEI",64
191,"National Institutes of Health, NIH",47
247,"Research to Prevent Blindness, RPB",30
270,"U.S. Public Health Service, USPHS",7
288,"Wellcome Trust, WT",7
182,"National Institute of Diabetes and Digestive and Kidney Diseases, NIDDK",5
166,"National Center for Advancing Translational Sciences, NCATS",5
67,"Doris Duke Charitable Foundation, DDCF",5
156,"Medical Research Council, MRC",5
101,"Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP",5
125,"Institut National de la Santé et de la Recherche Médicale, Inserm",4
74,EY1792/EY/NEI NIH HHS/United StatesHL15168-13/HL/NHLBI NIH HHS/United States,4
104,Genentech,4
187,National Institutes of Health,4
53,"Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq",4
153,Marrus Family Foundation,3
201,Novartis,3
230,Pfizer,3
94,"Foundation Fighting Blindness, FFB",3
171,National Eye Institute of the National Institutes of Health,3
218,P30 EY001792/EY/NEI NIH HHS/United StatesR01 EY023522/EY/NEI NIH HHS/United StatesR01 EY024628/EY/NEI NIH HHS/United States,3
175,"National Heart and Lung Institute, NHLI",3
202,"Novartis Pharmaceuticals Corporation, NPC",3
165,"National Cancer Institute, NCI",3
194,"National Science Foundation, NSF",3
193,"National Research Foundation of Korea, NRF",3
123,Illinois Society for the Prevention of Blindness,2
90,"Fondation pour la Recherche Médicale, FRM",2
167,"National Center for Research Resources, NCRR",2
159,"Ministry of Science, ICT and Future Planning, MSIP",2
72,EY 1792/EY/NEI NIH HHS/United StatesHL 15168/HL/NHLBI NIH HHS/United States,2
169,National Eye Institute,2
77,Edward N. and Della L. Thome Memorial Foundation,2
233,R01 EY027301/EY/NEI NIH HHS/United StatesR01 HL159116/HL/NHLBI NIH HHS/United States,2
142,Laboratory of Excellence GR‐Ex,2
225,PHS,2
91,Fondazione Città della Speranza,2
51,Comprehensive Sickle Cell Center,2
92,"Fondo para la Investigación Científica y Tecnológica, FonCyT",2
176,"National Heart, Lung, and Blood Institute",2
185,"National Institute of Neurological Disorders and Stroke, NINDS",2
196,New York Eye and Ear Infirmary Foundation,2
105,Geraldine Violett Foundation,2
108,Global Blood Therapeutics,2
116,"Horizon 2020 Framework Programme, H2020",2
183,"National Institute of General Medical Sciences, NIGMS",2
81,European Haematology Association,2
40,Caribbean Health Research Council Meetings,2
31,British Society for Haematology,2
17,American Society of Hematology,2
37,Canada Research Chairs,2
267,"U.S. Department of Defense, DOD",2
7,"Agence Nationale de la Recherche, ANR",2
269,"U.S. Department of Veterans Affairs, VA",2
206,"Obafemi Awolowo University Teaching Hospitals Complex, Ile-Ife",1
205,Obafemi Awolowo University Teaching Hospital,1
192,National Research Foundation of Korea,1
282,"Victoria University, VU",1
281,Veterans Administration Hospital,1
195,"Nederlandse Organisatie voor Wetenschappelijk Onderzoek, NWO",1
210,Ontario Ministry of Health,1
280,VA Research,1
197,"New York Eye and Ear Infirmary of Mount Sinai, NYEE",1
279,"Universitätsklinikum Regensburg, UKR",1
198,Norges Forskningsråd,1
278,"University of Missouri, MU",1
209,"Office of Research and Development, ORD",1
208,Office of Medical Student Research,1
199,NorthShore University HealthSystem,1
200,Northwestem University School of Medicine,1
190,National Institutes of Health National Institute of Diabetes and Digestive and Kidney Diseases,1
277,"University of Illinois, UofI",1
276,"University of Illinois at Chicago, UIC",1
203,"Novo Nordisk Fonden, NNF",1
204,Obafemi Awolowo University Hospital,1
275,"University of Colorado, CU",1
207,Obafemi Awolowo University/,1
283,Vitalant Research Institute,1
257,Sickle Pan African Research Consortium,1
274,University Children’s Hospital Basel,1
189,"National Institutes of Health National Heart, Lung, and Blood Institute",1
298,"vel Superior, CAPES",1
297,oamento de Pessoal de N&#x00ED,1
296,o de Aperfei&#x00E7,1
168,National Eye,1
295,ZonMw,1
294,Z99 HL999999/Intramural NIH HHS/United States,1
170,National Eye Institute Core,1
293,Yale University,1
172,"National Eye Institute, Bethesda, MD",1
292,"Wise Family Foundation, New York Eye and Ear Chairman",1
174,National Eye Institutes,1
291,Wise Family Foundation,1
290,Wilmer Eye Institute at the Johns Hopkins School of Medicine,1
289,Wellcome Trust/United Kingdom,1
178,National Hemophilia Foundation,1
179,National Institute for Health Research,1
180,National Institute for Health Research Biomedical Research Centre at Moorfields Eye Hospital NHS Foundation Trust and UCL Institute of Ophthalmology,1
181,"National Institute for Health and Care Research, NIHR",1
287,Wellcome Trust Sanger Institute,1
286,Vitreoretinal Service,1
285,"VitreoRetinal Surgery Foundation, VRSF",1
184,National Institute of Health,1
186,"National Institute on Minority Health and Health Disparities, NIMHD",1
284,VitreoRetinal Surgery Foundation,1
188,National Institutes of Health National Eye Institute,1
211,"Ophthalmolgy Department, Creteil, France",1
273,University Children?s Hospital Basel,1
212,Ophthalmology Research Fund,1
245,Research to Prevent Blindness Inc,1
236,ROPARD Foundation,1
262,Synchrotron Techniques for African Research and Technology,1
237,RWSC,1
238,Regeneron Pharmaceuticals,1
239,Reginald F. Lewis Foundation,1
240,"Reginald F. Lewis Foundation, Inc.",1
261,"Stichting Wetenschappelijk Onderzoek Oogziekenhuis, SWOO",1
241,Reginald Lewis Foundation,1
242,"Research Triangle Institute, RTI",1
243,Research to Prevent Blindness,1
244,Research to Prevent Blindness Foundation,1
246,"Research to Prevent Blindness, Inc., New York City",1
213,Ophthalmology department,1
260,Stealth BioTherapeutics,1
248,Retina Research and Development Foundation,1
249,Retina Research and Development Fund,1
250,"Rockefeller Brothers Fund, RBF",1
251,"Royal Bank of Canada, RBC",1
252,Sanofi-Genzyme,1
253,"Secretaria de Ciencia y Tecnica, Universidad de Buenos Aires, SECYT",1
259,Society of Heed Fellows,1
254,"Secretaria de Ciencia y Tecnología - Universidad Nacional de Córdoba, SECyT, UNC",1
258,Slotervaart Hospital Fund for Clinical Research,1
255,"Seventh Framework Programme, FP7",1
263,São Paulo Research Foundation,1
235,RBR,1
234,R90 HG004151/HG/NHGRI NIH HHS/United States,1
264,Texas Biotechnology Corp,1
256,Shire,1
272,"Universiti Malaya, UM",1
214,Owens Research Foundation,1
215,P30 EY001765/EY/NEI NIH HHS/United StatesR01 HL045922/HL/NHLBI NIH HHS/United StatesHL45922/HL/NHLBI NIH HHS/United StatesEY01765/EY/NEI NIH HHS/United States,1
216,P30 EY001792/EY/NEI NIH HHS/United StatesEY01792/EY/NEI NIH HHS/United StatesEY495707/EY/NEI NIH HHS/United States,1
217,P30 EY001792/EY/NEI NIH HHS/United StatesR01 EY014275/EY/NEI NIH HHS/United StatesEY01792/EY/NEI NIH HHS/United StatesEY14275/EY/NEI NIH HHS/United States,1
271,UCL Institute of Ophthalmology,1
219,"P30 EY001792/EY/NEI NIH HHS/United StatesR01 EY024628/EY/NEI NIH HHS/United StatesR01 EY030101/EY/NEI NIH HHS/United StatesR01 EY030101, R01 EY024628, P30 EY001792/EY/NEI NIH HHS/United States",1
220,P30 EY001931/EY/NEI NIH HHS/United StatesR01 EY027301/EY/NEI NIH HHS/United StatesU01 EY025477/EY/NEI NIH HHS/United States,1
221,P30 EY014801/EY/NEI NIH HHS/United States,1
222,P30 EY026877/EY/NEI NIH HHS/United StatesR01 EY027301/EY/NEI NIH HHS/United StatesR01 EY031360/EY/NEI NIH HHS/United StatesR01 EY032147/EY/NEI NIH HHS/United StatesR01 HL159116/HL/NHLBI NIH HHS/United StatesR01 EY032669/EY/NEI NIH HHS/United States,1
268,"U.S. Department of Health and Human Services, HHS",1
223,P30 EY030413/EY/NEI NIH HHS/United States,1
224,P30-EY01765/EY/NEI NIH HHS/United States,1
266,Titus Foundation,1
226,Panitch Fund,1
227,Pennsylvania Lions Sight Conservation,1
228,Pennsylvania Lions Sight Conservation Corporation,1
229,Pennsylvania Lions Sight Conservation and Eye Research Foundation Inc.,1
265,Thomas Pocklington Trust,1
164,NRF-2020M3A9D5A01082439,1
231,R01 DK135076/DK/NIDDK NIH HHS/United StatesR56 AG063753/AG/NIA NIH HHS/United States,1
232,R01 EY022704/EY/NEI NIH HHS/United StatesR21 EY029113/EY/NEI NIH HHS/United States,1
0,$2500 research,1
150,Macula Foundation,1
163,NIHR Bristol Biomedical Research Centre,1
48,Children’s Hospital of Pittsburgh,1
56,DP3 DK104393/DK/NIDDK NIH HHS/United States,1
55,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES",1
54,Coordena&#x00E7,1
52,"Consejo Nacional de Investigaciones Científicas y Técnicas, CONICET",1
50,Commonwealth Caribbean Medical Research Council,1
49,Colgate-Palmolive Company,1
47,Chengdu Pharmaceuticals,1
162,N.I.H.,1
46,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas, CIEMAT",1
45,"Centre Scientifique de Monaco, CSM",1
44,"Centers for Disease Control and Prevention, CDC",1
43,"Center for Outcomes Research and Evaluation, Yale School of Medicine",1
42,Center for Cell-based Therapy,1
41,CellSight Development Fund,1
57,DP3 DK104393/DK/NIDDK NIH HHS/United StatesP30 EY001792/EY/NEI NIH HHS/United States,1
58,"Danmarks Frie Forskningsfond, DFF",1
59,"De La Salle University, DLSU",1
60,Department of Hematology,1
61,Department of Ophthalmology,1
62,"Department of Ophthalmology, University of Washington",1
63,"Department of Ophthalmology, Visual and Anatomical Sciences",1
64,"Department of Science and Technology, Ministry of Science and Technology, India, डीएसटी",1
65,"Deutsche Forschungsgemeinschaft, DFG",1
66,Doris Duke Charitable Foundation,1
68,Dutch Ministry of Economic Affairs,1
69,EY 07768/EY/NEI NIH HHS/United States,1
70,EY 1792-07/EY/NEI NIH HHS/United StatesHL 15168-14/HL/NHLBI NIH HHS/United States,1
71,EY 1792-07/EY/NEI NIH HHS/United StatesHL 15168/HL/NHLBI NIH HHS/United StatesHL 15168-14/HL/NHLBI NIH HHS/United States,1
73,EY012601/NH/NIH HHS/United StatesR01 EY028858/EY/NEI NIH HHS/United StatesEY028858/NH/NIH HHS/United StatesR01 EY012601/EY/NEI NIH HHS/United StatesR01 HL141268/NH/NIH HHS/United StatesEY028038/NH/NIH HHS/United States1R01HL144727-01A1/NH/NIH HHS/United StatesEY028861/NH/NIH HHS/United States,1
75,EY1792/EY/NEI NIH HHS/United StatesHL75168/HL/NHLBI NIH HHS/United States,1
76,EY495707/EY/NEI NIH HHS/United StatesK12HD055892/HD/NICHD NIH HHS/United States,1
39,"Canadian Institutes of Health Research, IRSC",1
38,"Canadian Institutes of Health Research, CIHR",1
36,Canada Research Chair,1
18,"American Society of Hematology, ASH",1
2,205174/Z/16/Z/WT_/Wellcome Trust/United Kingdom,1
3,5T32GM131945/NH/NIH HHS/United StatesP30EY030413/EY/NEI NIH HHS/United StatesN/A/Hamon Center for Regenerative Science and Medicine Fellowship/N/A/Van Sickle Family Foundation Award/,1
4,ANR-14-CE15-0018,1
5,AORC,1
6,AddMeddica,1
8,"Agence Nationale pour la Recherche/Fondation Pierre Fabre/ANR-11-LABX-0051/Laboratory of Excellence GrEx, Université Paris Cité/Institut National de la Santé et de la Recherche Médicale/ANR-11-IDEX-0005-02/French National Research Agency/",1
9,"Agencia Córdoba Ciencia, ACC",1
10,"Agencia Nacional de Promoción Científica y Tecnológica, ANPCyT",1
11,"Albert Einstein College of Medicine, Yeshiva University, AECOM",1
12,Aldeyra Therapeutics,1
13,Allergan,1
14,Altsheler Durell Foundation,1
15,"American Association for Dental, Oral, and Craniofacial Research, AADOCR",1
16,"American Heart Association, AHA",1
19,Augusta University Research Institute,1
35,Campus France,1
20,BIRCWH,1
21,Bailey Fund of the Wilmer Institute,1
22,Bausch and Lomb and Santen,1
23,Bayer,1
24,Bendheim-Lowenstein Family Foundation,1
25,Bill and Melinda Gates,1
26,"Biomedical Laboratory Research and Development, VA Office of Research and Development, BLR&D, ORD",1
27,Birdshot Uveitis Society,1
28,Brandan's Eye Research Fund,1
29,Brandan’s Eye Research Foundation,1
30,Brazilian Coordination for the Improvement of Higher Education Personnel,1
32,British Society for Haematology Annual Scientific Meeting,1
33,Brownstein Foundation,1
34,CHU Rouen,1
78,"Eunice Kennedy Shriver National Institute of Child Health and Human Development, NICHD",1
79,Eunice Kennedy Shriver National Institute of Child and Human Development of Building Interdisciplinary Research Careers in Women's Health,1
80,European Framework Horizon 2020,1
143,"Landsteiner Foundation for Blood Transfusion Research, LSBR",1
128,Irving Institute for Clinical and Translational Research,1
129,"James and Jean Culver Vision Discovery Institute, Georgia Regents University",1
130,Janssen Pharmaceuticals,1
131,"Jeju National University Hospital, JNUH",1
132,Jeonbuk National University Hospital,1
133,"Jilin University, JLU",1
134,"Johns Hopkins University, JHU",1
135,Jorge N. Buxton Microsurgical Foundation,1
136,K08 EY027458/EY/NEI NIH HHS/United States,1
137,K08 HL125100/HL/NHLBI NIH HHS/United States,1
138,K12 EY022299/EY/NEI NIH HHS/United States,1
139,Komarek-Hyde-McQueen Foundation,1
140,LABEX-GR-Ex,1
141,Laboratory of Excellence GR-Ex,1
144,Leda Sears Trust Fund,1
126,"Instituto Nacional de Ciência e Tecnologia de Estudos do Espaço, INCT-INEspaço",1
145,Lemann Foundation,1
146,Les Laboratories Pierre Fabre,1
147,LuEsther T. Mertz Retinal Research Center,1
148,MSIT,1
149,MVC,1
1,&#x00E3,1
151,Macula Society,1
152,Manhattan Eye,1
154,"Massachusetts Lions Eye Research Fund, MLERF",1
155,Mayo Clinic Library and Medical Informatics Services,1
157,Miami,1
158,Milbank Foundation,1
160,Moorfields Eye Hospital NHS Foundation Trust,1
161,Murray Foundation for Eye Research Inc.,1
127,Instituto da Visão-IPEPO,1
124,Institut National de la Sant?,1
82,Eye Research Foundation,1
102,"Fundo para o Desenvolvimento Tecnológico das Telecomunicações, FUNTTEL",1
83,FAPESP-KCL,1
84,Fight for Sight Children's Diagnostic Eye Clinic of the Bascom Palmer Eye Institute,1
85,Fight for Sight UK,1
86,"Fight for Sight, FFS",1
87,"Fogarty International Center, FIC",1
88,Fondation Charles-Bruneau,1
89,Fondation Pierre Fabre,1
93,Forma Therapeutics,1
95,Foundation for the National Institutes of Health,1
96,"Foundation for the National Institutes of Health, FNIH",1
97,Fund of Biomedical Research Institute,1
98,"Fundação Oswaldo Cruz, FIOCRUZ",1
99,"Fundação de Amparo à Pesquisa do Estado da Bahia, FAPESB",1
100,"Fundação de Amparo à Pesquisa do Estado de Minas Gerais, FAPEMIG",1
103,G0901697/MRC_/Medical Research Council/United Kingdom,1
122,Illinois Lions Club,1
106,Gilead Sciences,1
107,Glaucoma Research Foundation Catalyst for a Cure Initiative,1
109,"Grant Healthcare Foundation, GHF",1
110,Graybug Vision,1
111,HL15168/HL/NHLBI NIH HHS/United States,1
112,"Health Services Research and Development, HSR&D",1
113,"Heed Ophthalmic Foundation, HOF",1
114,Hemostasis and Thrombosis Research Society,1
115,Horizon 2020,1
117,Hospira,1
118,"Hospital for Sick Children, SickKids",1
119,INCT do Sangue-CNPq,1
120,"Icahn School of Medicine at Mount Sinai, ISMMS",1
121,Ile-Ife,1
299,¬ hensive Sickle Cell Public Health Service,1
